target,model,fold,rmse,mae,r2
metric_latency,RandomForest,0,0.0005981024758331446,0.0004518014788380597,0.9566426075508637
metric_latency,RandomForest,1,0.0005995931795010301,0.0004548273693733741,0.9549174887335633
metric_latency,RandomForest,2,0.0006032380939340049,0.00046488819930870067,0.9515987692227833
metric_latency,RandomForest,3,0.0006165285909410018,0.00047087949754425303,0.9519338468722216
metric_latency,RandomForest,4,0.0006225884797213902,0.0004732392750521078,0.9543533209131606
metric_latency,RandomForest,5,0.0005829830978594265,0.00045090571993740237,0.9577642548523179
metric_latency,RandomForest,6,0.0006077015049036011,0.000455412766430821,0.9545453898400652
metric_latency,RandomForest,7,0.0006320181970859597,0.00047405261075305374,0.9516701111356519
metric_latency,RandomForest,8,0.0006086644560159742,0.0004706279285857159,0.9532187184959869
metric_latency,RandomForest,9,0.0006026200441282653,0.00045897338725110667,0.9539593967587545
metric_latency,GradientBoosting,0,0.0005556660052553425,0.0004280905983863557,0.9625769128081476
metric_latency,GradientBoosting,1,0.000576253841686246,0.0004330279886854023,0.9583588802614436
metric_latency,GradientBoosting,2,0.0005629719840801785,0.0004287837292753471,0.9578446738931985
metric_latency,GradientBoosting,3,0.0005700903541463919,0.00044031167344635395,0.958902035885014
metric_latency,GradientBoosting,4,0.0005824900873824199,0.0004482716206594726,0.9600438067872582
metric_latency,GradientBoosting,5,0.0005314820920092319,0.0004128140434942297,0.9648968972777581
metric_latency,GradientBoosting,6,0.0005718691594375753,0.000433044750685866,0.959747703263022
metric_latency,GradientBoosting,7,0.0005805766493948278,0.00043685197982535863,0.959217320117193
metric_latency,GradientBoosting,8,0.0005703248721344925,0.00044050740145399936,0.9589265809773985
metric_latency,GradientBoosting,9,0.0005701534491130305,0.00043735500669477034,0.9587867018180798
metric_latency,XGBoost,0,0.0005181001998737913,0.0003938455969350501,0.9674658492415303
metric_latency,XGBoost,1,0.000525843465323691,0.00039376696074921677,0.9653257006306524
metric_latency,XGBoost,2,0.0005279778476214441,0.0004084787141546673,0.9629225131392463
metric_latency,XGBoost,3,0.0005359895839022997,0.0004116595544005972,0.9636716542042154
metric_latency,XGBoost,4,0.0005272888384508763,0.0004009129250607335,0.967258076979095
metric_latency,XGBoost,5,0.000496765889446066,0.0003877200791826624,0.9693329664823421
metric_latency,XGBoost,6,0.0005283963509662951,0.00039871360188900617,0.9656349537061434
metric_latency,XGBoost,7,0.0005430196279927208,0.0004048653568144916,0.9643230526987394
metric_latency,XGBoost,8,0.0005421134966967369,0.00041504963958949775,0.9628895114448844
metric_latency,XGBoost,9,0.0005315862080729536,0.00040208629956978636,0.9641737568698524
metric_latency,LightGBM,0,0.0005197870215759598,0.00039293834563053706,0.9672536561208451
metric_latency,LightGBM,1,0.000525154886372335,0.00039038239144600174,0.9654164514405896
metric_latency,LightGBM,2,0.0005282816571054466,0.00040575924668465084,0.9628798305414286
metric_latency,LightGBM,3,0.0005386410084965753,0.00041499177658280216,0.9633113482798299
metric_latency,LightGBM,4,0.0005305202871017416,0.00040379652095060275,0.9668555346131416
metric_latency,LightGBM,5,0.0004997496202937071,0.0003875905589220971,0.9689634686115834
metric_latency,LightGBM,6,0.000524688857654302,0.0003941464793893075,0.9661155066065771
metric_latency,LightGBM,7,0.0005391842065873817,0.00040047952564042146,0.9648252551026621
metric_latency,LightGBM,8,0.0005326400861095739,0.00040848008169101703,0.9641751873185977
metric_latency,LightGBM,9,0.0005301214928946129,0.0004008521528724766,0.964370913782581
metric_flops,RandomForest,0,2.6395626368290457,0.49591002567721815,0.9939418519240637
